id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
2254502445,20140530T000000,3,1.0,1220.0,4800,1.0,0,0.0,3,6.0,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,3.85
126059019,20150316T000000,4,2.5,3170.0,94855,1.0,0,0.0,4,9.0,1910,1260,1978,0,98072,47.7648,-122.112,2590,65340,7.99
8825900020,20140811T000000,5,3.0,2710.0,4200,2.0,0,0.0,3,7.0,1890,820,1919,2014,98115,47.6754,-122.307,2150,4200,9.25
9465910380,20141024T000000,4,2.25,2850.0,7453,2.0,0,,3,9.0,2850,0,1991,0,98072,47.7439,-122.174,2700,8468,5.4
7784400060,20150120T000000,3,2.5,2370.0,9000,1.0,0,3.0,4,8.0,1570,800,1952,0,98146,47.4922,-122.365,2120,9500,5.45
9828701650,20141125T000000,2,1.0,700.0,3400,1.0,0,0.0,3,6.0,700,0,1946,0,98112,47.6212,-122.296,1570,4512,3.99
7853240100,20140902T000000,5,2.75,3890.0,9130,2.0,0,0.0,3,9.0,3890,0,2004,0,98065,47.5407,-121.86,3450,8361,7.725
2525049133,20150402T000000,5,2.25,2640.0,14959,1.0,0,0.0,4,7.0,1770,870,1929,0,98039,47.6191,-122.234,3240,17904,13.98
9407001500,20140811T000000,3,1.75,1390.0,9000,1.0,0,,4,7.0,1390,0,1978,0,98045,47.4469,-121.772,1400,9697,2.7
2472950120,20140603T000000,3,2.0,1410.0,7622,1.0,0,,4,7.0,1410,0,1983,0,98058,47.4273,-122.147,1830,8330,2.725
7299600950,20150408T000000,3,2.5,1608.0,4800,2.0,0,0.0,3,8.0,1608,0,2013,0,98092,47.2585,-122.201,2009,4800,2.7995
2485000076,20150122T000000,4,3.25,3680.0,8580,1.0,0,3.0,5,10.0,1840,1840,1959,0,98136,47.5266,-122.387,2700,9100,10.5
9232900165,20150123T000000,2,1.0,,5800,1.0,0,0.0,3,6.0,790,0,1943,0,98117,47.6973,-122.36,1460,5800,4.185
1854900410,20141101T000000,4,2.5,2990.0,5342,2.0,0,0.0,3,8.0,2990,0,2004,0,98074,47.6124,-122.009,2990,5936,6.445
5637500180,20140612T000000,4,1.0,2080.0,3500,1.5,0,0.0,5,7.0,1260,820,1926,0,98136,47.5445,-122.383,1380,5900,5.2
5608010050,20141229T000000,4,2.5,3550.0,10233,2.0,0,0.0,3,9.0,3550,0,1996,0,98027,47.5499,-122.1,3310,9157,9.2
421000215,20150416T000000,2,1.0,700.0,5100,1.0,0,0.0,4,5.0,700,0,1953,0,98056,47.4957,-122.168,970,5811,2.08
2815600305,20150422T000000,3,2.0,2560.0,6800,1.0,0,1.0,4,8.0,1380,1180,1952,0,98136,47.5506,-122.395,1780,6800,6.95
3820350120,,3,2.5,1590.0,3359,2.0,0,0.0,3,7.0,1590,0,2000,0,98019,47.7349,-121.986,1820,3383,3.1
2205500080,20140610T000000,4,2.0,,11100,1.0,0,0.0,4,7.0,1210,0,1955,0,98006,47.5747,-122.145,1280,11100,4.833
3472800065,20140826T000000,4,3.0,3600.0,9687,2.0,0,0.0,4,9.0,3600,0,1959,1995,98004,47.6257,-122.208,2620,10400,16.98
2044500142,20140902T000000,3,1.75,1770.0,6000,1.0,0,0.0,3,7.0,1130,640,1952,0,98125,47.7135,-122.315,1900,7200,4.2
2547200190,20140520T000000,4,2.75,3160.0,8097,2.0,0,0.0,3,9.0,3160,0,2014,0,98033,47.6709,-122.166,2200,8097,8.6
8856940060,20150227T000000,4,2.75,2730.0,4683,2.0,0,0.0,3,7.0,2730,0,2005,0,98038,47.3608,-122.043,2230,4924,3.7495
1189000492,20140606T000000,2,2.0,1405.0,1073,2.0,0,0.0,3,8.0,1140,265,2007,0,98122,47.612,-122.295,1405,3000,4.05
7800800160,20141121T000000,3,2.25,2120.0,18500,2.0,0,0.0,4,8.0,2120,0,1983,0,98031,47.3914,-122.169,2120,14479,3.75
2129700142,20140731T000000,3,1.0,1010.0,25277,1.0,0,0.0,5,5.0,1010,0,1961,0,98019,47.7242,-121.951,1570,213879,2.01
5016002240,,3,2.25,2160.0,7500,2.0,0,0.0,3,10.0,2160,0,1982,0,98112,47.6232,-122.299,1550,3839,10.1
4309720160,20141107T000000,3,2.5,2930.0,33981,2.0,0,2.0,3,9.0,2930,0,2000,0,98059,47.5151,-122.12,3720,35230,7.85
4319200605,20140628T000000,3,2.5,1700.0,9100,1.0,0,0.0,3,8.0,1160,540,1998,0,98126,47.5369,-122.378,1590,8374,4.75
3271800870,20140807T000000,4,2.25,2020.0,5800,1.0,0,3.0,4,9.0,1760,260,1941,0,98199,47.6471,-122.412,3100,5800,12.25
7280300080,20150202T000000,4,2.5,1840.0,7800,1.0,0,2.0,3,8.0,1240,600,1972,0,98177,47.7762,-122.384,2010,9100,5.1
1646501845,20140913T000000,3,2.0,1270.0,3090,2.0,0,,5,7.0,1270,0,1911,0,98117,47.685,-122.359,1440,3090,5.7
7922710320,20150316T000000,3,1.75,1520.0,9605,1.0,0,0.0,3,7.0,1520,0,1975,0,98052,47.667,-122.142,2040,9900,5.3
1311800040,20141220T000000,4,2.75,2240.0,7200,1.0,0,0.0,3,,1140,1100,1967,0,98001,47.3357,-122.275,1580,7416,2.6
7689600630,20141106T000000,2,1.0,710.0,6960,1.0,0,0.0,4,6.0,710,0,1943,0,98178,47.4886,-122.246,940,7680,2.165
6821102358,20150224T000000,3,2.25,1670.0,3135,2.0,0,0.0,3,8.0,1220,450,2002,0,98199,47.6478,-122.396,1630,1596,5.4
4113800330,20140606T000000,3,2.5,2400.0,6975,2.0,0,0.0,3,9.0,2400,0,1993,0,98056,47.534,-122.179,2640,11172,5.7
7899800450,20140828T000000,2,1.0,670.0,4720,1.0,0,0.0,4,6.0,670,0,1948,0,98106,47.5243,-122.358,1480,4720,1.07
3735900770,20141017T000000,4,4.0,3180.0,7650,2.0,0,0.0,3,8.0,2530,650,1920,0,98115,47.6887,-122.319,2000,4080,7.75
1137500090,20140814T000000,4,2.5,2750.0,16139,2.0,0,0.0,3,9.0,2750,0,1989,0,98075,47.5843,-122.06,2810,13093,7.63776
3013300288,20140930T000000,3,1.0,2090.0,4755,1.0,0,2.0,3,8.0,1200,890,1969,0,98136,47.5304,-122.387,1850,5300,4.785
4309700130,20140604T000000,3,3.25,4720.0,32467,2.0,0,2.0,3,10.0,3190,1530,1998,0,98059,47.508,-122.113,3260,26386,8.6
7237301010,20150218T000000,3,2.5,2200.0,4240,2.0,0,0.0,3,7.0,2200,0,2003,0,98042,47.3715,-122.127,2200,4311,2.9
644200040,20140515T000000,5,4.25,3920.0,16258,2.0,0,0.0,3,9.0,2900,1020,1990,0,98004,47.5871,-122.192,2540,12131,10.0
1102001112,20150213T000000,4,2.25,1950.0,7000,1.0,0,1.0,3,8.0,1450,500,1957,0,98118,47.5426,-122.262,1840,6440,8.025
324000280,20150413T000000,3,1.5,1710.0,4000,2.0,0,0.0,3,8.0,1710,0,1926,0,98116,47.5714,-122.385,1910,4000,6.75
8562800250,20140814T000000,4,2.25,2270.0,10000,1.0,0,0.0,5,8.0,1720,550,1974,0,98006,47.5599,-122.142,2270,10148,5.96
6742700210,20141119T000000,3,3.0,3490.0,4500,2.5,0,0.0,3,9.0,3170,320,1924,0,98102,47.6394,-122.321,2840,4050,10.5
7148200040,20150210T000000,4,2.0,1200.0,8460,1.0,0,0.0,5,7.0,1200,0,1957,0,98188,47.4413,-122.277,1350,8623,1.73
2249500059,20150107T000000,3,2.0,1810.0,2159,1.0,0,0.0,3,7.0,1010,800,1922,0,98109,47.6273,-122.345,1810,2159,5.5
9406700180,20150416T000000,4,2.5,3190.0,4980,2.0,0,0.0,3,9.0,3190,0,2005,0,98038,47.3657,-122.034,2830,6720,4.19
7696630080,20140506T000000,3,1.75,1690.0,7735,1.0,0,0.0,4,7.0,1060,630,1976,0,98001,47.3324,-122.28,1580,7503,1.97
9521101520,20141212T000000,2,1.0,940.0,3864,1.0,0,0.0,4,8.0,940,0,1918,0,98103,47.6631,-122.345,1440,3956,5.43
