Name,Year,Platform,Platform_Generation,Platform_Company,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Wii Sports,2006,Wii,7th,Nintendo,41.49,29.02,3.77,82.74
Mario Kart Wii,2008,Wii,7th,Nintendo,15.85,12.88,3.79,35.82
Wii Sports Resort,2009,Wii,7th,Nintendo,15.75,11.01,3.28,33
Wii Play,2006,Wii,7th,Nintendo,14.03,9.2,2.93,29.02
New Super Mario Bros. Wii,2009,Wii,7th,Nintendo,14.59,7.06,4.7,28.62
Wii Fit,2007,Wii,7th,Nintendo,8.94,8.03,3.6,22.72
Wii Fit Plus,2009,Wii,7th,Nintendo,9.09,8.59,2.53,22
Kinect Adventures!,2010,X360,7th,Microsoft,14.97,4.94,0.24,21.82
Grand Theft Auto V,2013,PS3,7th,Sony,7.01,9.27,0.97,21.4
Grand Theft Auto: San Andreas,2004,PS2,6th,Sony,9.43,0.4,0.41,20.81
Super Mario World,1990,SNES,4th,Nintendo,12.78,3.75,3.54,20.61
Grand Theft Auto V,2013,X360,7th,Microsoft,9.63,5.31,0.06,16.38
Grand Theft Auto: Vice City,2002,PS2,6th,Sony,8.41,5.49,0.47,16.15
Gran Turismo 3: A-Spec,2001,PS2,6th,Sony,6.85,5.09,1.87,14.98
Call of Duty: Modern Warfare 3,2011,X360,7th,Microsoft,9.03,4.28,0.13,14.76
Call of Duty: Black Ops,2010,X360,7th,Microsoft,9.67,3.73,0.11,14.64
Call of Duty: Black Ops 3,2015,PS4,8th,Sony,5.77,5.81,0.35,14.24
Call of Duty: Black Ops II,2012,PS3,7th,Sony,4.99,5.88,0.65,14.03
Call of Duty: Black Ops II,2012,X360,7th,Microsoft,8.25,4.3,0.07,13.73
Call of Duty: Modern Warfare 2,2009,X360,7th,Microsoft,8.52,3.63,0.08,13.51
Call of Duty: Modern Warfare 3,2011,PS3,7th,Sony,5.54,5.82,0.49,13.46
Grand Theft Auto III,2001,PS2,6th,Sony,6.99,4.51,0.3,13.1
Super Smash Bros. Brawl,2008,Wii,7th,Nintendo,6.75,2.61,2.66,13.04
Call of Duty: Black Ops,2010,PS3,7th,Sony,5.98,4.44,0.48,12.73
Halo 3,2007,X360,7th,Microsoft,7.97,2.83,0.13,12.14
Grand Theft Auto V,2014,PS4,8th,Sony,3.8,5.81,0.36,11.98
Super Mario 64,1996,N64,5th,Nintendo,6.91,2.85,1.91,11.89
Gran Turismo 4,2004,PS2,6th,Sony,3.01,0.01,1.1,11.66
Super Mario Galaxy,2007,Wii,7th,Nintendo,6.16,3.4,1.2,11.52
Grand Theft Auto IV,2008,X360,7th,Microsoft,6.76,3.1,0.14,11.02
Gran Turismo,1997,PS,5th,Sony,4.02,3.87,2.54,10.95
Gran Turismo 5,2010,PS3,7th,Sony,2.96,4.88,0.81,10.77
Call of Duty: Modern Warfare 2,2009,PS3,7th,Sony,4.99,3.69,0.38,10.69
Grand Theft Auto IV,2008,PS3,7th,Sony,4.76,3.76,0.44,10.57
Super Mario All-Stars,1993,SNES,4th,Nintendo,5.99,2.15,2.12,10.55
Just Dance 3,2011,Wii,7th,Nintendo,6.05,3.15,0,10.26
Call of Duty: Ghosts,2013,X360,7th,Microsoft,6.72,2.63,0.04,10.21
Halo: Reach,2010,X360,7th,Microsoft,7.03,1.98,0.08,9.88
Mario Kart 64,1996,N64,5th,Nintendo,5.55,1.94,2.23,9.87
Halo 4,2012,X360,7th,Microsoft,6.63,2.36,0.04,9.76
Final Fantasy VII,1997,PS,5th,Sony,3.01,2.47,3.28,9.72
Call of Duty: Ghosts,2013,PS3,7th,Sony,4.09,3.73,0.38,9.59
Just Dance 2,2010,Wii,7th,Nintendo,5.84,2.89,0.01,9.52
Gran Turismo 2,1999,PS,5th,Sony,3.88,3.42,1.69,9.49
Call of Duty 4: Modern Warfare,2007,X360,7th,Microsoft,5.91,2.38,0.13,9.32
Donkey Kong Country,1994,SNES,4th,Nintendo,4.36,1.71,3,9.3
Minecraft,2013,X360,7th,Microsoft,5.58,2.83,0.02,9.2
The Elder Scrolls V: Skyrim,2011,X360,7th,Microsoft,5.03,2.86,0.1,8.84
Super Mario Kart,1992,SNES,4th,Nintendo,3.54,1.24,3.81,8.76
FIFA 16,2015,PS4,8th,Sony,1.11,6.06,0.06,8.49
Wii Party,2010,Wii,7th,Nintendo,1.79,3.53,2.49,8.49
Halo 2,2004,XB,6th,Microsoft,6.82,1.53,0.05,8.49
Mario Party 8,2007,Wii,7th,Nintendo,3.81,2.3,1.58,8.42
FIFA Soccer 13,2012,PS3,7th,Sony,1.06,5.05,0.13,8.24
GoldenEye 007,1997,N64,5th,Nintendo,5.8,2.01,0.13,8.09
Mario & Sonic at the Olympic Games,2007,Wii,7th,Nintendo,2.58,3.9,0.66,8.06
Final Fantasy X,2001,PS2,6th,Sony,2.91,2.07,2.73,8.05
Final Fantasy VIII,1999,PS,5th,Sony,2.28,1.72,3.63,7.86
Super Mario Galaxy 2,2010,Wii,7th,Nintendo,3.66,2.42,0.98,7.69
Star Wars Battlefront (2015),2015,PS4,8th,Sony,2.93,3.29,0.22,7.67
Call of Duty: Advanced Warfare,2014,PS4,8th,Sony,2.8,3.3,0.14,7.6
The Legend of Zelda: Ocarina of Time,1998,N64,5th,Nintendo,4.1,1.89,1.45,7.6
Crash Bandicoot 2: Cortex Strikes Back,1997,PS,5th,Sony,3.78,2.17,1.31,7.58
Call of Duty: World at War,2008,X360,7th,Microsoft,4.79,1.9,0,7.37
Battlefield 3,2011,X360,7th,Microsoft,4.46,2.13,0.06,7.34
The Legend of Zelda: Twilight Princess,2006,Wii,7th,Nintendo,3.83,2.19,0.6,7.31
Call of Duty: Black Ops 3,2015,XOne,8th,Microsoft,4.52,2.09,0.01,7.3
Just Dance,2009,Wii,7th,Nintendo,3.51,3.03,0,7.27
Battlefield 3,2011,PS3,7th,Sony,2.85,2.93,0.35,7.23
Need for Speed Underground,2003,PS2,6th,Sony,3.27,2.83,0.08,7.2
Tekken 3,1998,PS,5th,Sony,3.27,2.22,1.4,7.16
Crash Bandicoot 3: Warped,1998,PS,5th,Sony,3.68,1.75,1.42,7.13
Super Smash Bros. Melee,2001,GC,6th,Nintendo,4.41,1.04,1.39,7.07
Mario Kart 8,2014,WiiU,8th,Nintendo,3.13,2.07,1.27,6.96
Fallout 4,2015,PS4,8th,Sony,2.47,3.15,0.24,6.96
