play_type,posteam,rushing_yards,rusher_id,rusher_player_id,rusher_player_name,ydstogo,down,yardline_100,run_location,score_differential,game_seconds_remaining
,,,,,,0.0,,,,,3600.0
kickoff,NYJ,,,,,0.0,,35.0,,0.0,3600.0
run,NYJ,19.0,00-0036924,00-0036924,Mi.Carter,10.0,1.0,78.0,left,0.0,3596.0
pass,NYJ,,,,,10.0,1.0,59.0,,0.0,3569.0
run,NYJ,5.0,00-0036924,00-0036924,Mi.Carter,10.0,2.0,59.0,left,0.0,3565.0
pass,NYJ,,,,,5.0,3.0,54.0,,0.0,3541.0
punt,NYJ,,,,,15.0,4.0,64.0,,0.0,3533.0
pass,BAL,,,,,10.0,1.0,72.0,,0.0,3522.0
pass,BAL,,,,,6.0,2.0,68.0,,0.0,3501.0
run,BAL,4.0,00-0034796,00-0034796,L.Jackson,2.0,3.0,64.0,right,0.0,3461.0
run,BAL,0.0,00-0033118,00-0033118,K.Drake,10.0,1.0,60.0,right,0.0,3421.0
pass,BAL,,,,,10.0,2.0,60.0,,0.0,3379.0
run,BAL,1.0,00-0033118,00-0033118,K.Drake,2.0,3.0,52.0,right,0.0,3340.0
no_play,,,,,,0.0,,,,,3296.0
punt,BAL,,,,,1.0,4.0,51.0,,0.0,3296.0
run,NYJ,-2.0,00-0038120,00-0038120,Br.Hall,10.0,1.0,89.0,right,0.0,3289.0
pass,NYJ,,,,,12.0,2.0,91.0,,0.0,3251.0
no_play,NYJ,,,,,9.0,3.0,88.0,,0.0,3211.0
run,NYJ,1.0,00-0036924,00-0036924,Mi.Carter,10.0,1.0,83.0,middle,0.0,3207.0
run,NYJ,0.0,00-0036924,00-0036924,Mi.Carter,9.0,2.0,82.0,left,0.0,3171.0
pass,NYJ,,,,,9.0,3.0,82.0,,0.0,3136.0
punt,NYJ,,,,,9.0,4.0,82.0,,0.0,3132.0
pass,BAL,,,,,10.0,1.0,66.0,,0.0,3125.0
run,BAL,1.0,00-0032063,00-0032063,M.Davis,10.0,2.0,66.0,middle,0.0,3122.0
pass,BAL,,,,,9.0,3.0,65.0,,0.0,3073.0
punt,BAL,,,,,9.0,4.0,65.0,,0.0,3068.0
pass,NYJ,,,,,10.0,1.0,83.0,,0.0,3061.0
run,NYJ,1.0,00-0036924,00-0036924,Mi.Carter,10.0,1.0,59.0,right,0.0,3021.0
pass,NYJ,,,,,19.0,1.0,68.0,,0.0,3007.0
run,BAL,-1.0,00-0033118,00-0033118,K.Drake,10.0,1.0,13.0,left,0.0,2996.0
pass,BAL,,,,,11.0,2.0,14.0,,0.0,2948.0
pass,BAL,,,,,3.0,3.0,6.0,,0.0,2904.0
field_goal,BAL,,,,,3.0,4.0,6.0,,0.0,2899.0
kickoff,NYJ,,,,,0.0,,35.0,,-3.0,2896.0
pass,NYJ,,,,,10.0,1.0,75.0,,-3.0,2896.0
pass,NYJ,,,,,10.0,2.0,75.0,,-3.0,2891.0
pass,NYJ,,,,,10.0,3.0,75.0,,-3.0,2887.0
punt,NYJ,,,,,1.0,4.0,66.0,,-3.0,2820.0
pass,BAL,,,,,10.0,1.0,84.0,,3.0,2813.0
pass,BAL,,,,,10.0,1.0,73.0,,3.0,2772.0
run,BAL,3.0,00-0033118,00-0033118,K.Drake,8.0,2.0,71.0,middle,3.0,2725.0
,BAL,,,,,0.0,,,,3.0,2700.0
pass,BAL,,,,,5.0,3.0,68.0,,3.0,2700.0
punt,BAL,,,,,5.0,4.0,68.0,,3.0,2696.0
