"Date","Customer_Age","Customer_Gender","Country","State","Product","Order_Quantity"
"2020-11-26",19,"M","Canada","British Columbia","AC_100",8
"2021-03-23",49,"M","Australia","New South Wales","AC_100",23
"2023-02-22",35,"M","Australia","Victoria","AC_100",21
"2022-07-30",32,"F","Australia","Victoria","AC_100",8
"2023-01-02",48,"F","Canada","British Columbia","AC_100",4
"2022-11-11",34,"M","Canada","British Columbia","AC_100",23
"2022-09-17",29,"F","United Kingdom","England","AC_100",15
"2023-03-04",38,"F","United States","California","AC_100",3
"2021-05-30",38,"F","United States","California","AC_100",2
"2021-03-12",54,"F","Australia","Queensland","AC_100",7
"2022-09-03",51,"F","United States","Washington","AC_100",9
"2023-02-04",46,"M","United States","Washington","AC_100",3
"2021-05-11",32,"M","United States","California","AC_100",26
"2022-09-20",26,"F","United States","Washington","AC_100",9
"2020-09-13",55,"M","United States","Washington","AC_100",4
"2023-01-01",24,"M","Australia","New South Wales","AC_100",6
"2023-06-12",26,"M","Australia","New South Wales","AC_100",4
"2021-05-11",17,"M","United Kingdom","England","AC_100",6
"2021-02-07",42,"M","Australia","Victoria","AC_100",8
"2020-09-04",29,"M","United States","Oregon","AC_100",27
"2021-01-19",29,"M","United States","California","AC_100",6
"2022-12-31",29,"M","France","Nord","AC_100",13
"2023-01-16",41,"M","Canada","British Columbia","AC_100",7
"2022-11-19",28,"F","Australia","New South Wales","AC_100",9
"2022-09-17",52,"M","United States","Washington","AC_100",4
"2022-09-28",45,"M","Canada","British Columbia","AC_100",5
"2022-09-02",33,"M","Canada","British Columbia","AC_100",2
"2021-03-02",33,"M","United States","Washington","AC_100",7
"2023-06-11",45,"F","Canada","British Columbia","AC_100",27
"2023-06-28",40,"F","Germany","Nordrhein-Westfalen","AC_100",25
"2020-12-27",33,"M","United States","Oregon","AC_100",3
"2020-09-05",48,"F","United States","California","AC_100",5
"2021-02-01",34,"F","Canada","British Columbia","AC_100",6
"2021-04-17",26,"M","United Kingdom","England","AC_100",23
"2021-04-29",29,"M","United Kingdom","England","AC_100",1
"2021-07-10",39,"M","United States","California","AC_100",8
"2021-06-21",42,"M","United Kingdom","England","AC_100",23
"2020-08-25",22,"M","France","Yveline","AC_100",2
"2021-02-28",36,"M","United States","California","AC_100",15
"2020-08-08",25,"F","Canada","British Columbia","AC_100",5
"2022-12-31",31,"F","United States","Washington","AC_100",12
"2023-06-05",42,"M","France","Seine (Paris)","AC_100",5
"2020-11-13",57,"M","United States","Washington","AC_100",9
"2021-04-10",40,"M","United States","California","AC_100",3
"2022-10-02",37,"F","United States","Oregon","AC_100",6
"2022-09-08",44,"F","United Kingdom","England","AC_100",1
"2021-06-24",35,"M","United States","California","AC_100",3
"2023-02-01",41,"M","United States","California","AC_100",4
"2022-10-27",32,"M","Australia","New South Wales","AC_100",4
"2020-07-22",18,"F","United States","California","AC_100",4
"2022-07-22",18,"F","United States","California","AC_100",3
"2020-10-10",18,"F","United States","California","AC_100",3
"2022-10-09",35,"F","Australia","Queensland","AC_101",2
"2021-01-30",44,"F","United States","California","AC_101",10
"2020-09-12",31,"F","Australia","Queensland","AC_101",9
"2022-11-10",25,"F","United States","California","AC_101",4
"2022-12-19",30,"F","Australia","Victoria","AC_101",1
"2023-02-21",33,"F","United Kingdom","England","AC_101",3
"2023-07-06",26,"M","Australia","Queensland","AC_101",10
"2020-11-11",26,"F","Australia","New South Wales","AC_101",8
"2020-11-13",26,"F","Australia","New South Wales","AC_101",6
"2023-07-23",44,"F","Australia","South Australia","AC_101",2
"2023-03-17",54,"F","United Kingdom","England","AC_101",4
"2022-10-04",33,"M","Germany","Hessen","AC_101",11
"2021-05-03",20,"F","Germany","Saarland","AC_101",2
"2023-02-18",42,"M","Australia","New South Wales","AC_101",3
"2021-03-17",58,"M","Australia","New South Wales","AC_101",10
"2021-02-19",36,"M","Australia","New South Wales","AC_101",10
"2020-12-07",45,"F","United States","Oregon","AC_101",5
"2022-09-04",46,"M","Australia","New South Wales","AC_101",10
"2021-01-24",44,"M","Germany","Nordrhein-Westfalen","AC_101",5
"2021-06-05",39,"F","United Kingdom","England","AC_101",9
"2021-06-26",39,"F","United Kingdom","England","AC_101",3
"2023-06-26",39,"F","United Kingdom","England","AC_101",2
"2021-06-18",56,"F","United States","California","AC_101",3
"2023-03-14",59,"M","United States","Washington","AC_101",4
"2022-10-19",30,"F","France","Seine Saint Denis","AC_101",1
"2023-04-24",36,"F","Germany","Hessen","AC_101",1
"2020-11-18",33,"F","Australia","Queensland","AC_101",8
"2022-11-18",33,"F","Australia","Queensland","AC_101",6
"2020-11-28",49,"M","United States","Washington","AC_101",9
"2023-04-19",32,"M","France","Seine (Paris)","AC_101",3
"2020-12-20",35,"F","United States","California","AC_101",8
"2022-12-20",35,"F","United States","California","AC_101",5
"2022-11-03",40,"M","France","Val de Marne","AC_101",12
"2021-01-30",50,"F","United States","Oregon","AC_101",3
"2023-01-30",50,"F","United States","Oregon","AC_101",1
"2021-01-30",50,"M","Australia","New South Wales","AC_101",8
"2021-04-28",35,"M","United Kingdom","England","AC_101",9
"2023-02-18",37,"M","United States","Washington","AC_101",10
"2020-08-19",31,"M","Australia","Victoria","AC_101",7
"2021-04-16",68,"M","Germany","Nordrhein-Westfalen","AC_101",3
"2021-07-20",51,"M","United States","California","AC_101",4
"2020-08-11",48,"F","United States","California","AC_101",6
"2022-12-14",56,"F","Australia","Victoria","AC_101",1
"2023-05-13",22,"M","Australia","New South Wales","AC_101",4
"2021-04-13",32,"F","United States","Washington","AC_101",9
"2023-04-21",42,"M","United States","California","AC_101",7
"2021-04-05",37,"M","United States","California","AC_101",4
"2021-04-03",50,"F","Australia","New South Wales","AC_105",30
"2023-05-16",50,"F","Australia","New South Wales","AC_105",24
"2021-02-12",50,"F","Australia","Victoria","AC_104",22
"2020-10-24",42,"F","Australia","Victoria","AC_103",2
"2022-10-24",42,"F","Australia","Victoria","AC_103",1
"2020-09-24",41,"M","Australia","South Australia","AC_104",23
"2021-03-21",36,"M","Australia","Victoria","AC_105",26
"2021-02-08",37,"F","Australia","South Australia","AC_104",1
"2022-08-05",35,"M","Australia","South Australia","AC_105",26
"2021-05-12",35,"M","Australia","South Australia","AC_105",8
"2023-05-12",35,"M","Australia","South Australia","AC_105",26
"2021-03-15",37,"M","Australia","Victoria","AC_103",20
"2022-11-26",40,"M","Australia","Victoria","AC_105",24
"2020-10-22",22,"F","United States","Washington","AC_105",4
"2023-07-08",22,"F","United States","Washington","AC_105",22
"2023-01-18",40,"M","France","Yveline","AC_104",25
"2020-09-28",42,"M","France","Seine Saint Denis","AC_105",25
"2022-09-28",42,"M","France","Seine Saint Denis","AC_105",17
"2021-01-15",42,"M","France","Seine Saint Denis","AC_105",14
"2023-07-09",65,"M","Canada","British Columbia","AC_103",3
"2022-08-04",58,"M","United States","Washington","AC_105",5
"2020-11-29",29,"F","Canada","British Columbia","AC_105",16
"2021-06-05",29,"F","Canada","British Columbia","AC_105",5
"2021-06-05",35,"M","France","Seine (Paris)","AC_105",14
"2022-07-03",36,"M","Germany","Nordrhein-Westfalen","AC_104",4
"2022-07-06",61,"F","France","Seine (Paris)","AC_105",11
"2020-09-27",35,"M","France","Pas de Calais","AC_105",26
"2021-01-13",35,"M","France","Pas de Calais","AC_105",15
"2023-01-13",35,"M","France","Pas de Calais","AC_105",14
"2023-07-16",43,"F","Germany","Hessen","AC_104",16
"2020-11-02",57,"M","France","Seine Saint Denis","AC_105",28
"2023-01-23",55,"M","United Kingdom","England","AC_104",13
"2023-02-22",55,"M","United Kingdom","England","AC_104",11
"2023-02-22",55,"M","United Kingdom","England","AC_104",10
"2023-02-03",37,"F","France","Essonne","AC_104",3
"2023-02-17",53,"M","Germany","Hessen","AC_105",16
"2021-03-12",45,"M","France","Hauts de Seine","AC_105",8
"2021-06-03",45,"M","France","Hauts de Seine","AC_105",27
"2021-06-01",46,"F","France","Seine et Marne","AC_104",17
"2020-07-05",46,"M","France","Seine Saint Denis","AC_105",16
"2020-07-06",23,"M","Australia","New South Wales","AC_105",17
"2022-07-06",23,"M","Australia","New South Wales","AC_105",6
"2022-10-14",23,"M","Australia","New South Wales","AC_105",6
