"Date","Customer_Age","Customer_Gender","Country","State","Product","Order_Quantity"
"2024-01-02",48,"F","Canada","British Columbia","AC_100",4
"2023-09-17",29,"F","United Kingdom","England","AC_100",15
"2023-09-03",51,"F","United States","Washington","AC_100",9
"2024-02-04",46,"M","United States","Washington","AC_100",3
"2023-09-20",26,"F","United States","Washington","AC_100",9
"2024-01-01",24,"M","Australia","New South Wales","AC_100",6
"2023-09-28",45,"M","Canada","British Columbia","AC_100",5
"2023-12-31",31,"F","United States","Washington","AC_100",12
"2024-06-05",42,"M","France","Seine (Paris)","AC_100",5
"2023-10-02",37,"F","United States","Oregon","AC_100",6
"2024-02-01",41,"M","United States","California","AC_100",4
"2023-10-27",32,"M","Australia","New South Wales","AC_100",4
"2024-02-21",33,"F","United Kingdom","England","AC_101",3
"2024-07-06",26,"M","Australia","Queensland","AC_101",10
"2023-10-04",33,"M","Germany","Hessen","AC_101",11
"2024-02-18",42,"M","Australia","New South Wales","AC_101",3
"2023-09-04",46,"M","Australia","New South Wales","AC_101",10
"2024-04-19",32,"M","France","Seine (Paris)","AC_101",3
"2024-01-30",50,"F","United States","Oregon","AC_101",1
"2024-02-18",37,"M","United States","Washington","AC_101",10
"2023-12-14",56,"F","Australia","Victoria","AC_101",1
"2024-05-13",22,"M","Australia","New South Wales","AC_101",4
"2024-04-21",42,"M","United States","California","AC_101",7
"2023-10-24",42,"F","Australia","Victoria","AC_103",1
"2023-08-05",35,"M","Australia","South Australia","AC_105",26
"2024-05-12",35,"M","Australia","South Australia","AC_105",26
"2023-11-26",40,"M","Australia","Victoria","AC_105",24
"2024-07-08",22,"F","United States","Washington","AC_105",22
"2024-01-23",55,"M","United Kingdom","England","AC_104",13
"2024-02-03",37,"F","France","Essonne","AC_104",3
"2023-10-14",23,"M","Australia","New South Wales","AC_105",6
"2023-12-24",31,"M","Canada","British Columbia","AC_105",1
"2023-11-24",34,"F","France","Seine Saint Denis","AC_105",25
"2023-12-09",20,"M","France","Yveline","AC_105",19
"2023-12-12",22,"M","France","Seine (Paris)","AC_105",21
"2023-11-02",31,"F","Canada","British Columbia","AC_105",29
"2024-07-17",31,"F","Canada","British Columbia","AC_105",2
"2023-08-04",29,"M","Australia","New South Wales","AC_105",4
"2023-10-14",34,"M","Australia","Victoria","AC_105",6
"2024-02-28",34,"M","Australia","Victoria","AC_105",4
"2024-04-30",36,"F","Australia","Queensland","AC_104",13
"2023-09-10",44,"F","Australia","Victoria","AC_103",26
"2024-06-11",53,"M","United States","California","AC_105",30
"2024-01-10",41,"F","Germany","Nordrhein-Westfalen","AC_105",29
"2023-12-12",42,"M","Germany","Nordrhein-Westfalen","AC_103",11
"2023-12-28",38,"M","United Kingdom","England","AC_105",23
"2024-02-14",27,"F","France","Charente-Maritime","AC_105",17
"2023-09-02",53,"M","Germany","Brandenburg","AC_104",26
"2023-10-27",43,"M","France","Val d'Oise","AC_104",16
"2024-02-26",43,"M","United Kingdom","England","AC_103",19
"2023-09-19",46,"M","France","Hauts de Seine","AC_104",2
"2024-03-28",24,"M","Australia","Victoria","AC_105",27
"2024-02-19",33,"M","Germany","Hessen","AC_105",2
"2023-12-31",22,"F","United Kingdom","England","AC_105",18
"2024-04-15",56,"F","France","Seine Saint Denis","AC_103",12
