tree_id,tree_dbh,curb_loc,spc_common,status,health,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,postcode,nta,nta_name,latitude,longitude
190422,11,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77004563,-73.98494997
190426,11,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77020969,-73.98533807
208649,9,OnCurb,American linden,Alive,Good,No,Yes,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76272385,-73.98729652
193310,14,OnCurb,honeylocust,Alive,Good,No,No,Yes,No,No,Yes,No,No,Yes,10021,MN40,Upper East Side-Carnegie Hill,40.77217148,-73.96045571
199760,4,OnCurb,willow oak,Alive,Fair,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.7820872,-73.98096428
201555,9,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.72180744,-73.98982976
187056,7,OnCurb,honeylocust,Alive,Good,No,Yes,No,No,No,Yes,No,No,No,10023,MN14,Lincoln Square,40.77039613,-73.9816267
187058,5,OnCurb,honeylocust,Alive,Good,No,Yes,No,No,No,Yes,No,No,No,10023,MN14,Lincoln Square,40.77022715,-73.98121826
190423,12,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77008698,-73.98504779
190425,13,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77018061,-73.98526929
208346,20,OffsetFromCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78258674,-73.97484011
178382,12,OnCurb,London planetree,Alive,Fair,No,No,No,No,No,No,No,No,No,10009,MN50,Stuyvesant Town-Cooper Village,40.7337165,-73.97705764
191988,6,OnCurb,willow oak,Alive,Good,No,No,No,No,No,No,No,No,No,10012,MN24,SoHo-TriBeCa-Civic Center-Little Italy,40.72663958,-73.99936836
208230,13,OffsetFromCurb,London planetree,Alive,Fair,No,No,No,No,No,Yes,No,No,No,10024,MN12,Upper West Side,40.7821811,-73.97238977
200225,8,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78993607,-73.97721169
198121,8,OnCurb,pin oak,Alive,Fair,Yes,No,No,No,No,No,No,No,Yes,10016,MN20,Murray Hill-Kips Bay,40.74503399,-73.98253015
195252,5,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10011,MN23,West Village,40.73599985,-73.99985935
198514,18,OnCurb,pin oak,Alive,Good,Yes,No,No,No,No,No,No,No,No,10025,MN09,Morningside Heights,40.80230109,-73.9620798
196373,13,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.71680539,-73.99157275
190359,13,OnCurb,London planetree,Alive,Fair,No,No,Yes,No,No,Yes,No,No,Yes,10021,MN40,Upper East Side-Carnegie Hill,40.77222448,-73.95894426
180295,2,OnCurb,American elm,Alive,Good,No,No,No,Yes,No,No,No,No,Yes,10023,MN14,Lincoln Square,40.77013009,-73.9829175
208373,4,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.7816172,-73.97558535
208240,2,OffsetFromCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78233867,-73.97276286
208247,29,OnCurb,American elm,Alive,Fair,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.7825057,-73.97308773
196372,12,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.71688341,-73.99153287
209919,9,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN09,Morningside Heights,40.80881155,-73.96331506
208338,5,OnCurb,London planetree,Alive,Fair,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78283422,-73.97469909
196374,13,OnCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.71669718,-73.99162805
208463,14,OnCurb,ash,Alive,Good,No,No,No,No,No,No,No,No,No,10019,MN15,Clinton,40.76312607,-73.98935258
209921,3,OffsetFromCurb,London planetree,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN09,Morningside Heights,40.80874458,-73.96340334
203887,5,OnCurb,willow oak,Alive,Good,No,No,No,Yes,No,No,No,No,No,10025,MN09,Morningside Heights,40.80572583,-73.96071917
196440,5,OnCurb,American elm,Alive,Fair,No,No,No,No,No,No,No,No,No,10115,MN09,Morningside Heights,40.81114538,-73.96412322
192814,7,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10014,MN23,West Village,40.73998079,-74.00504966
179828,1,OnCurb,red maple,Alive,Good,No,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.72180184,-73.99119881
208229,5,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78220389,-73.97237311
175693,4,OnCurb,ginkgo,Alive,Good,No,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.74829709,-73.98065645
190540,7,OnCurb,honeylocust,Alive,Good,No,No,Yes,No,No,No,No,No,No,10025,MN12,Upper West Side,40.79238702,-73.97423449
208395,13,OffsetFromCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10024,MN12,Upper West Side,40.78080395,-73.97613836
209913,21,OnCurb,pin oak,Alive,Good,No,No,No,No,No,No,No,No,No,10027,MN09,Morningside Heights,40.80907709,-73.96312072
178756,14,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77688357,-73.97980287
163280,15,OnCurb,honeylocust,Alive,Good,No,No,Yes,No,No,No,No,No,No,10075,MN31,Lenox Hill-Roosevelt Island,40.77277225,-73.9553271
190420,13,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.76996266,-73.98475372
191273,8,OnCurb,honeylocust,Alive,Fair,No,No,No,No,No,No,No,No,Yes,10010,MN21,Gramercy,40.73943979,-73.98436755
176850,7,OnCurb,ginkgo,Alive,Fair,Yes,No,No,No,No,No,No,No,No,10003,MN21,Gramercy,40.73570804,-73.98261517
180266,7,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77033272,-73.98369364
190393,4,OnCurb,honeylocust,Alive,Good,Yes,No,No,No,No,No,Yes,No,Yes,10021,MN31,Lenox Hill-Roosevelt Island,40.76955939,-73.95993924
201558,10,OnCurb,honeylocust,Alive,Good,Yes,No,No,No,No,No,No,No,No,10002,MN27,Chinatown,40.72173136,-73.98958224
205787,10,OnCurb,ginkgo,Alive,Fair,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.78010688,-73.98322688
208767,11,OnCurb,honeylocust,Alive,Good,No,No,Yes,No,No,No,No,No,No,10065,MN31,Lenox Hill-Roosevelt Island,40.76332189,-73.96121439
205734,10,OnCurb,honeylocust,Alive,Good,Yes,No,No,No,No,No,No,No,No,10023,MN12,Upper West Side,40.78061205,-73.98564087
190421,14,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77000454,-73.98485279
199062,4,OnCurb,crab apple,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.77038983,-73.98213047
208820,13,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10065,MN31,Lenox Hill-Roosevelt Island,40.76436461,-73.95955458
178606,7,OnCurb,honeylocust,Alive,Good,No,No,No,No,No,No,No,No,No,10016,MN20,Murray Hill-Kips Bay,40.74780138,-73.97857966
199051,4,OnCurb,crab apple,Alive,Good,No,No,No,No,No,No,No,No,No,10023,MN14,Lincoln Square,40.76996828,-73.98212294
208761,14,OnCurb,honeylocust,Alive,Good,No,No,Yes,No,No,No,No,No,No,10065,MN31,Lenox Hill-Roosevelt Island,40.76307992,-73.96064456
