Number of Records;Cell Cgi;Cell Tower Lat;Cell Tower Location;Cell Tower Long;Cell Tower State;Comm Date;Comm Identifier;Comm Time;Comm Timedate String;Comm Timestamp;Comm Type;Id
1;50501015388B9;-33,89293048;REDFERN TE;151,2022686;;4/1/14;f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e;30/12/1899 9:40:15;4/1/14 9:40;1396305615;Phone;1
1;50501015388B9;-33,89293048;REDFERN TE;151,2022686;;4/1/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 9:42:51;4/1/14 9:42;1396305771;Phone;2
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/1/14;c8f92bd0f4e6fb45ed7fce96fc831b283db2b642;30/12/1899 13:13:00;4/1/14 13:13;1396318380;Phone;3
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/1/14;f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e;30/12/1899 13:13:41;4/1/14 13:13;1396318421;Phone;4
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/1/14;f1a6836c0b7a3415a19a90fdd6f0ae18484d6d1e;30/12/1899 17:27:51;4/1/14 17:27;1396333671;Phone;5
1;5050101532B23;-33,8841;CHIPPENDALE;151,20234;;4/1/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 17:36:57;4/1/14 17:36;1396334217;Phone;6
1;5050101536E5E;-33,8841;CHIPPENDALE;151,20234;;4/1/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 17:40:36;4/1/14 17:40;1396334436;Phone;7
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/2/14;7cb96eadd3ff95e25406d24794027c443c0661c5;30/12/1899 19:18:22;4/2/14 19:18;1396426702;Phone;8
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/3/14;de40c5c1f9249f95f7fb216931db58747afef74f;30/12/1899 14:35:19;4/3/14 14:35;1396496119;Phone;9
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/3/14;66f32c1163d0e597983b65c51f5a477070ad3785;30/12/1899 14:36:15;4/3/14 14:36;1396496175;Phone;10
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/4/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 9:12:32;4/4/14 9:12;1396563152;SMS;11
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/4/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 9:39:15;4/4/14 9:39;1396564755;Phone;12
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 9:39:34;4/4/14 9:39;1396564774;Phone;13
1;5050101537A4A;-33,8885;CHIPPENDALE;151,20063;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 9:47:20;4/4/14 9:47;1396565240;Phone;14
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/4/14;de40c5c1f9249f95f7fb216931db58747afef74f;30/12/1899 14:00:02;4/4/14 14:00;1396580402;Phone;15
1;5.05E+106;-33,88024;HAYMARKET #;151,20569;;4/4/14;de40c5c1f9249f95f7fb216931db58747afef74f;30/12/1899 15:11:32;4/4/14 15:11;1396584692;Phone;16
1;505010153111F;-33,88024;HAYMARKET #;151,20569;;4/4/14;b5238f237b241802d59fce177e4f9f016ae3d4f6;30/12/1899 15:20:45;4/4/14 15:20;1396585245;Phone;17
1;5050101536E5E;-33,8841;CHIPPENDALE;151,20234;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 18:10:35;4/4/14 18:10;1396595435;Phone;18
1;505010153A14C;-33,88024;HAYMARKET TE LEVEL 5 SRA BTS HOTEL;151,20569;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 18:28:19;4/4/14 18:28;1396596499;Phone;19
1;50501015369CB;-33,86113;71 MACQUARIE ST;151,21293;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 18:31:30;4/4/14 18:31;1396596690;Phone;20
1;505010152532C;-33,79661;FAIRLIGHT 137 SYDNEY RD;151,27756;;4/4/14;c8f92bd0f4e6fb45ed7fce96fc831b283db2b642;30/12/1899 18:57:51;4/4/14 18:57;1396598271;Phone;21
1;505010152532C;-33,79661;FAIRLIGHT 137 SYDNEY RD;151,27756;;4/4/14;91aba4a11359ff3af7902428d20cfa7e676c36e7;30/12/1899 18:58:28;4/4/14 18:58;1396598308;Phone;22
1;5.0501E+12;-33,796679;MANLY #;151,285293;;4/5/14;dc6774d10eeca42629f043d3649f1edf903b0dab;30/12/1899 15:10:08;4/5/14 15:10;1396671008;Phone;23
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/7/14;62157ccf2910019ffd915b11fa037243b75c1624;30/12/1899 10:46:49;4/7/14 10:46;1396831609;Phone;24
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/7/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 12:31:55;4/7/14 12:31;1396837915;SMS;25
1;50501015388BC;-33,89293048;REDFERN TE;151,2022686;;4/7/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 18:18:35;4/7/14 18:18;1396858715;SMS;26
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/7/14;12e3d1b0c95aa32b6890c4455918dfc10e09fb51;30/12/1899 18:23:28;4/7/14 18:23;1396859008;Phone;27
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/7/14;6bbc17070aa91e2dab7909b96c6eecbd6109ba56;30/12/1899 18:31:33;4/7/14 18:31;1396859493;Phone;28
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/7/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 18:39:37;4/7/14 18:39;1396859977;SMS;29
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/7/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 18:39:49;4/7/14 18:39;1396859989;SMS;30
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/7/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 18:54:11;4/7/14 18:54;1396860851;SMS;31
1;5050101531F05;-33,89293048;REDFERN TE;151,2022686;;4/7/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 19:13:36;4/7/14 19:13;1396862016;SMS;32
1;50501015388BB;-33,89293048;REDFERN TE;151,2022686;;4/7/14;bc0b01860486b0f0a240ce8419d3d7553fe404ab;30/12/1899 21:22:16;4/7/14 21:22;1396869736;SMS;33
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:34:11;4/8/14 20:34;1396953251;SMS;34
1;5050101531F08;-33,89293048;REDFERN TE;151,2022686;;4/8/14;70e1f163d854d4e9b63e9a3f4056ced467567d85;30/12/1899 20:35:52;4/8/14 20:35;1396953352;SMS;35
